Country class,Name,Year,Total GHG
Developing,Aruba,2018,154.6671619
Developing,Afghanistan,2018,21196.13215
Developing,Angola,2018,66445.75131
Developing,Anguilla,2018,7.181544401
Industrialised,Albania,2018,5086.41733
Developing,Netherlands Antilles,2018,372.2064307
Developing,United Arab Emirates,2018,38592.90072
Developing,Argentina,2018,274442.2747
Industrialised,Armenia,2018,2960.659072
Developing,American Samoa,2018,22.40214854
Developing,Antigua and Barbuda,2018,140.743539
Industrialised,Australia,2018,190353.632
Industrialised,Austria,2018,19732.14854
Industrialised,Azerbaijan,2018,19335.451
Developing,Burundi,2018,9018.418176
Industrialised,Belgium,2018,30962.33444
Developing,Benin,2018,18854.93264
Developing,Burkina Faso,2018,30884.52417
Developing,Bangladesh,2018,189117.5216
Industrialised,Bulgaria,2018,17887.15423
Developing,Bahrain,2018,9087.859661
Developing,Bahamas,2018,597.3373941
Industrialised,Bosnia and Herzegovina,2018,4418.798884
Industrialised,Belarus,2018,60245.74187
Developing,Belize,2018,5921.332442
Developing,Bermuda,2018,109.9530844
Developing,Bolivia,2018,101511.8643
Developing,Brazil,2018,1465343.292
Developing,Barbados,2018,355.9081906
Developing,Brunei Darussalam,2018,1947.686376
Developing,Bhutan,2018,767.9485238
Developing,Botswana,2018,45838.07411
Developing,Central African Republic,2018,40767.05227
Industrialised,Canada,2018,288906.1563
Industrialised,Switzerland,2018,11750.15529
Developing,Chile,2018,36927.68839
Developing,China,2018,2511003.261
Developing,Cote d'Ivoire,2018,40373.32834
Developing,Cameroon,2018,57126.40855
Developing,Congo_the Democratic Republic of the,2018,651179.1344
Developing,Congo,2018,16369.50045
Developing,Cook Islands,2018,16.24130775
Developing,Colombia,2018,192128.0316
Developing,Comoros,2018,491.9244588
Developing,Cape Verde,2018,273.7168974
Developing,Costa Rica,2018,8552.366275
Developing,Cuba,2018,19685.9025
Developing,Cayman Islands,2018,98.91668315
Industrialised,Cyprus,2018,2162.532767
Industrialised,Czech Republic,2018,24933.04827
Industrialised,Germany,2018,164534.0975
Developing,Djibouti,2018,1242.63266
Developing,Dominica,2018,89.34128453
Industrialised,Denmark,2018,22201.73522
Developing,Dominican Republic,2018,19322.42723
Developing,Algeria,2018,58536.60819
Developing,Ecuador,2018,51045.48012
Developing,Egypt,2018,96048.99954
Developing,Eritrea,2018,5885.381845
Developing,Western Sahara,2018,409.4458335
Industrialised,Spain,2018,98143.16016
Industrialised,Estonia,2018,7283.391305
Developing,Ethiopia,2018,164419.75
Industrialised,Finland,2018,28341.03089
Developing,Fiji,2018,1238.653797
Developing,Falkland Islands (Malvinas),2018,1307.880222
Industrialised,France,2018,153213.7575
Industrialised,Faroe Islands,2018,90.81503985
Developing,"Micronesia, Federated States of",2018,48.33465099
Developing,Gabon,2018,9233.645038
Industrialised,United Kingdom,2018,107840.2624
Industrialised,Georgia,2018,6275.513977
Developing,Ghana,2018,14965.3393
Industrialised,Gibraltar,2018,82.70787948
Developing,Guinea,2018,33208.66999
Developing,Guadeloupe,2018,523.9289535
Developing,Gambia,2018,1967.970079
Developing,Guinea-Bissau,2018,3911.25928
Developing,Equatorial Guinea,2018,5097.517403
Industrialised,Greece,2018,22765.93394
Developing,Grenada,2018,79.74306685
Industrialised,Greenland,2018,222.9136718
Developing,Guatemala,2018,24113.70144
Developing,French Guiana,2018,2929.360932
Developing,Guam,2018,53.84716279
Developing,Guyana,2018,18027.50498
Developing,Hong Kong,2018,7344.33359
Developing,Honduras,2018,17292.96265
Industrialised,Croatia,2018,8982.903623
Developing,Haiti,2018,7294.170772
Industrialised,Hungary,2018,24165.63762
Developing,Indonesia,2018,1142489.369
Developing,India,2018,1248781.526
Industrialised,Ireland,2018,34493.71265
Developing,"Iran, Islamic Republic of",2018,171419.0623
Developing,Iraq,2018,52089.75197
