Country_code_A3,Name,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
ABW,Aruba,52.4675869,58.44577919,66.70255787,62.30150409,68.5063526,75.82926455,58.73438487,81.16256411,99.39694422,127.2189316,141.3978486,144.5449031,135.3032805,155.0080481,163.5497737,171.20936,154.5072326,159.9219071,152.1821802,159.3644198,141.0758382,135.1293011,173.6039091,169.5261608,172.058516,169.9024212,172.8774005,158.3178653,154.6671619
AFG,Afghanistan,10625.10787,10830.8811,10950.53673,11171.8215,11299.59487,11815.2676,13155.15911,14252.95484,15083.50075,16150.74986,14389.97729,12774.8562,15412.91126,16002.8673,16170.53739,16123.64592,16182.47058,16596.79802,18068.89548,18810.39853,20963.79733,21558.23316,21216.8188,20942.20679,21451.73019,21147.53878,21050.77827,21302.70837,21196.13215
AGO,Angola,32156.59676,32464.23528,32567.38829,32602.14628,34115.35334,34801.96522,40930.12665,40057.61572,47268.0534,45761.81702,39904.19391,58991.98343,59971.14011,60246.39008,66050.46468,67170.73923,62893.78777,62947.67438,64069.47301,65693.10414,67693.46721,66277.36628,67652.08741,67200.27761,68146.58122,69470.34123,69064.5576,71539.34272,66445.75131
AIA,Anguilla,2.72660843,3.00926748,3.13016865,3.406826921,3.932456632,4.488218543,4.493259583,4.194689245,3.99848813,3.960589943,4.461198231,4.6263978,4.022951949,4.481819706,4.427965081,4.590753968,4.573168224,4.554366927,5.036120125,5.795507114,6.373053598,6.660544667,6.705420294,6.993231917,7.027910416,7.078795915,7.159169559,7.27269507,7.181544401
AIR,Int. Aviation,1322.248427,1285.268168,1325.968003,1352.13143,1424.838702,1481.416851,1541.112346,1620.190699,1675.333378,1747.125982,1812.911451,1776.564388,1879.038581,1870.58108,2018.684144,2149.113839,2227.710585,2289.370341,2327.098087,2216.41331,2339.399901,2426.222186,2445.366423,2487.015536,2570.11499,2712.218964,2831.883565,2990.773933,3116.257046
ALB,Albania,4260.823984,3853.034806,3551.11444,3755.743353,4454.070176,4417.983441,4129.354299,3973.571397,3938.736167,4589.135503,4606.241976,4606.34997,4762.952399,4742.848457,4611.919391,4368.821451,4714.531401,4542.713885,4176.326547,4092.736698,4346.630812,4426.243474,4294.442321,4198.182363,4651.494752,4577.566621,4528.350526,4926.751156,5086.41733
ANT,Netherlands Antilles,228.0941433,235.5791963,248.0165855,215.2601993,243.9965263,245.1462096,258.1676631,434.611107,504.5002889,591.6933581,615.8799756,626.1786222,572.2401599,570.9438975,601.8376453,636.9301494,613.5194325,668.3481819,669.4372672,609.2440065,459.4466464,564.0525355,498.1284545,464.4442629,511.3312909,516.2709052,460.6540614,422.0868762,372.2064307
ARE,United Arab Emirates,7161.870638,7411.507169,7757.682681,8616.151621,8847.981502,9599.888151,10160.41097,10377.81623,10313.33523,11288.01878,12926.73375,14147.01611,15250.33939,17468.93364,18836.16148,20836.41705,22272.208,22480.85237,24652.59319,24620.33519,24944.41687,25559.52799,27527.76942,29265.15747,30907.82175,31827.55188,34871.83929,37305.89738,38592.90072
ARG,Argentina,247217.6636,246609.3122,249510.577,247326.2401,250635.8725,255865.3604,255588.6508,256532.8057,255187.7006,261172.4031,259864.4151,307631.1884,314162.1733,330668.3575,337030.1849,340301.4796,346078.1453,347408.4963,348318.6789,334389.4337,329099.0592,295991.0839,298185.8575,305954.8073,312016.3584,313814.9543,273980.076,276767.1527,274442.2747
ARM,Armenia,4676.558361,4040.579411,3129.845981,2349.860662,2191.870103,2177.509163,2181.722893,2206.187664,2066.959506,2057.886228,2157.497932,2340.715622,2367.987446,2429.687489,2630.193648,2659.485319,2656.110214,2730.897419,2765.476527,2589.416114,2555.527407,2439.230174,2607.801125,2669.183929,3124.321359,3177.903634,3214.052993,3092.817637,2960.659072
ASM,American Samoa,19.42208433,19.69194205,19.95950712,20.22265495,20.47707249,20.73638227,20.96811844,21.19849631,21.43408375,21.6524315,21.85542947,22.0193345,22.09812063,22.17760107,22.16030448,22.12583336,22.00087821,21.95396538,21.78767824,21.61079625,21.52138303,22.29155545,22.21057557,22.16903083,22.18858217,22.1851252,22.54885622,22.47957358,22.40214854
ATG,Antigua and Barbuda,100.4577735,103.5596072,106.3362061,103.4279855,107.6008869,110.495017,110.2228464,111.8568677,122.0614144,138.3767059,134.5793902,135.3954534,133.5567461,140.3681188,144.2751181,143.8929066,140.4108902,143.4117422,144.4981706,151.4801889,125.2531872,137.6309425,147.5514536,149.0694217,151.6439612,150.0819567,154.9638237,143.3504321,140.743539
AUS,Australia,238478.1696,237485.6333,234937.3319,234564.3878,237131.3481,235263.1079,240614.3951,242879.6575,245438.9147,246334.0536,250615.4143,261599.3858,260750.3849,256868.4409,263835.2025,266114.5675,264288.72,260765.5023,257676.1754,260791.2226,258356.9705,202837.5249,194289.9591,195478.6532,194459.5024,190425.1394,185652.7574,192602.1299,190353.632
AUT,Austria,22509.15773,22695.57924,22302.54914,22118.73454,21693.74486,21667.8461,21732.83307,21987.80493,22034.12639,21789.63924,21941.93339,20828.1214,21367.1339,21799.7849,21192.2832,20736.78541,20585.8831,20267.85823,20072.77766,19259.23738,20126.91653,20308.55951,19766.86223,19926.52892,19930.27529,19867.03613,19927.10735,20047.98453,19732.14854
AZE,Azerbaijan,16847.42991,15065.75157,14562.33615,12631.58408,11547.35012,11118.8998,10782.92192,10891.75368,10401.60918,10513.40565,11325.25194,11724.87702,12012.3565,12506.4291,12867.55003,13981.06328,13839.75263,15809.04554,17391.91127,17625.30782,17512.31521,17588.93269,18465.76032,18872.7694,19167.2369,19135.57949,19523.65929,19326.92335,19335.451
