Name,dev_country,Substance,FOOD_system_stage,Y_1995,Country_Num,Country_Class_NUM
Angola,D,1,2,10271.716,4,0
Angola,D,0,2,7662.4856,4,0
Angola,D,3,2,5009.6395,4,0
Albania,I,1,2,116.8068,1,1
Albania,I,3,2,12.4815,1,1
Argentina,D,1,2,84423.2052,7,0
Argentina,D,3,2,1113.5565,7,0
Argentina,D,0,2,364.0924,7,0
Armenia,I,1,2,54.2254,8,1
American Samoa,D,1,2,7.9612,3,0
Australia,I,1,2,61082.3972,10,1
Australia,I,3,2,445.094,10,1
Australia,I,0,2,77.9996,10,1
Austria,I,1,2,1922.8781,11,1
Austria,I,3,2,38.213,11,1
Azerbaijan,I,1,2,0.0,12,1
Burundi,D,1,2,5505.5596,31,0
Burundi,D,3,2,434.653,31,0
Burundi,D,0,2,1.8256,31,0
Belgium,I,1,2,0.0,18,1
Belgium,I,3,2,0.0,18,1
Benin,D,1,2,15058.7287,20,0
Benin,D,0,2,98.994,20,0
Benin,D,3,2,39.856,20,0
Burkina Faso,D,1,2,7724.64,30,0
Burkina Faso,D,0,2,132.6668,30,0
Burkina Faso,D,3,2,36.941,30,0
Bangladesh,D,1,2,22645.5626,15,0
Bangladesh,D,3,2,2344.2695,15,0
Bangladesh,D,0,2,55.4232,15,0
Bulgaria,I,1,2,3536.797,29,1
Bulgaria,I,3,2,133.56,29,1
Bahamas,D,0,2,17.6092,13,0
Bahamas,D,3,2,10.441,13,0
Bosnia and Herzegovina,I,1,2,53.8627,25,1
Bosnia and Herzegovina,I,3,2,15.476,25,1
Belarus,I,1,2,25470.2314,17,1
Belarus,I,3,2,4989.314,17,1
Belize,D,1,2,6560.2481,19,0
Belize,D,3,2,63.8385,19,0
Belize,D,0,2,44.8644,19,0
Bolivia (Plurinational State of),D,1,2,76739.2436,24,0
Bolivia (Plurinational State of),D,0,2,3153.9424,24,0
Bolivia (Plurinational State of),D,3,2,2026.826,24,0
Brazil,D,1,2,1385422.664,27,0
Brazil,D,0,2,6063.6576,27,0
Brazil,D,3,2,3809.375,27,0
Brunei Darussalam,D,1,2,1559.9927,28,0
Brunei Darussalam,D,0,2,110.4404,28,0
Brunei Darussalam,D,3,2,44.785,28,0
Bhutan,D,0,2,4.228,22,0
Bhutan,D,3,2,2.385,22,0
Botswana,D,1,2,41217.7673,26,0
Botswana,D,3,2,65.137,26,0
Central African Republic,D,1,2,13962.7059,37,0
Central African Republic,D,0,2,8173.6648,37,0
Central African Republic,D,3,2,6627.5175,37,0
Canada,I,1,2,133032.0433,34,1
Canada,I,3,2,4200.0645,34,1
Switzerland,I,1,2,838.7545,197,1
Switzerland,I,3,2,125.981,197,1
Chile,D,1,2,3399.2147,39,0
Chile,D,3,2,150.4405,39,0
China,D,1,2,1601.2825,40,0
China,D,3,2,486.9905,40,0
China,D,0,2,1.1788,40,0
Côte d'Ivoire,D,1,2,60663.589,53,0
Côte d'Ivoire,D,3,2,287.6045,53,0
Côte d'Ivoire,D,0,2,97.2328,53,0
Cameroon,D,1,2,53027.1963,33,0
Cameroon,D,0,2,707.5964,33,0
Cameroon,D,3,2,575.5005,33,0
Democratic Republic of the Congo,D,1,2,367778.4001,55,0
Democratic Republic of the Congo,D,0,2,14905.0524,55,0
Democratic Republic of the Congo,D,3,2,10114.8645,55,0
Congo,D,1,2,9400.1481,43,0
Congo,D,3,2,490.2765,43,0
Congo,D,0,2,202.202,43,0
Colombia,D,1,2,95377.6466,41,0
Colombia,D,3,2,187.885,41,0
Colombia,D,0,2,176.5932,41,0
Comoros,D,1,2,59.8556,42,0
Comoros,D,0,2,1.5904,42,0
Comoros,D,3,2,1.1395,42,0
Costa Rica,D,1,2,3373.5476,46,0
Costa Rica,D,3,2,32.489,46,0
Costa Rica,D,0,2,11.0292,46,0
Cuba,D,1,2,120.835,49,0
Cuba,D,0,2,27.482,49,0
Cuba,D,3,2,15.6615,49,0
Cayman Islands,D,1,2,4.5012,36,0
Cyprus,I,1,2,0.0,50,1
Czechia,I,1,2,359.1551,52,1
Czechia,I,3,2,37.3385,52,1
Germany,I,1,2,10284.9979,79,1
Fiji,D,1,2,109.2469,70,0
Germany,I,3,2,3733.3465,79,1
Dominica,D,1,2,54.9141,58,0
Denmark,I,1,2,1166.8434,56,1
Denmark,I,3,2,283.8945,56,1
Dominican Republic,D,1,2,0.0,59,0
Dominican Republic,D,0,2,2.8756,59,0
Dominican Republic,D,3,2,1.1395,59,0
Algeria,D,1,2,684.9333,2,0
Ecuador,D,1,2,37610.8195,60,0
Ecuador,D,3,2,4.2135,60,0
Ecuador,D,0,2,0.658,60,0
Egypt,D,1,2,0.0,61,0
Eritrea,D,1,2,676.9839,64,0
Eritrea,D,3,2,0.53,64,0
Western Sahara,D,1,2,0.0,230,0
Spain,I,1,2,372.3907,191,1
Spain,I,3,2,48.4155,191,1
Estonia,I,1,2,2075.7675,65,1
Estonia,I,3,2,500.3465,65,1
Ethiopia,D,1,2,26184.5821,67,0
Ethiopia,D,3,2,929.2755,67,0
Ethiopia,D,0,2,194.1996,67,0
Finland,I,1,2,7368.7138,71,1
Finland,I,3,2,1380.703,71,1
Fiji,D,3,2,15.211,70,0
Fiji,D,0,2,4.2,70,0
Falkland Islands (Malvinas),D,3,2,905.558,68,0
Falkland Islands (Malvinas),D,1,2,254.7739,68,0
France,I,1,2,5545.5713,72,1
France,I,3,2,725.305,72,1
Faroe Islands,I,3,2,37.5505,69,1
Faroe Islands,I,1,2,16.6059,69,1
"Micronesia, Federated States of",D,1,2,351.988,135,0
Gabon,D,1,2,3607.0813,76,0
Gabon,D,3,2,77.327,76,0
Gabon,D,0,2,22.918,76,0
United Kingdom of Great Britain and Northern Ireland,I,3,2,4301.5065,217,1
United Kingdom of Great Britain and Northern Ireland,I,1,2,2662.7221,217,1
Ghana,D,1,2,23703.0044,80,0
Ghana,D,0,2,133.8904,80,0
Ghana,D,3,2,55.3585,80,0
Guinea,D,1,2,10861.9694,88,0
Guinea,D,3,2,198.697,88,0
Guinea,D,0,2,142.506,88,0
Guadeloupe,D,1,2,66.66,85,0
Gambia,D,1,2,527.6271,77,0
Gambia,D,0,2,58.3184,77,0
Gambia,D,3,2,16.2445,77,0
Guinea-Bissau,D,1,2,1490.1884,89,0
Guinea-Bissau,D,0,2,167.5604,89,0
Guinea-Bissau,D,3,2,121.635,89,0
Equatorial Guinea,D,1,2,9561.5399,63,0
Equatorial Guinea,D,3,2,0.1325,63,0
Equatorial Guinea,D,0,2,0.1568,63,0
Greece,I,1,2,1420.5877,82,1
Greece,I,3,2,151.0765,82,1
Grenada,D,0,2,0.0168,84,0
Guatemala,D,1,2,16490.76,87,0
Guatemala,D,0,2,315.8512,87,0
Guatemala,D,3,2,144.2925,87,0
French Guiana,D,1,2,3570.894,73,0
French Guiana,D,3,2,2.8885,73,0
French Guiana,D,0,2,1.4448,73,0
French Guyana,D,1,2,7357.1016,74,0
French Guyana,D,3,2,392.2,74,0
French Guyana,D,0,2,21.3836,74,0
Honduras,D,1,2,5534.1368,92,0
Honduras,D,0,2,189.3248,92,0
Honduras,D,3,2,111.0085,92,0
Croatia,I,1,2,402.9282,48,1
Croatia,I,3,2,1.2455,48,1
Haiti,D,1,2,207.8648,91,0
Haiti,D,0,2,0.1596,91,0
Haiti,D,3,2,0.053,91,0
Hungary,I,1,2,5829.1653,94,1
Hungary,I,3,2,654.0995,94,1
Indonesia,D,1,2,1174162.466,97,0
Indonesia,D,0,2,72482.62,97,0
Indonesia,D,3,2,26924.5565,97,0
India,D,1,2,6274.2819,96,0
