Country list with regional grouping and classification (developing and industrialised). ,,,,,
"In the manuscript, the discussion is often based on main economies which allows the EU28 to be considered as a single entity.",,,,,
"The EU28 comprises: Austria, Italy, Belgium, Latvia, Bulgaria, Lithuania, Croatia, Luxembourg, Cyprus,  Malta, Czechia, The Netherlands, Denmark, Poland, Estonia, Portugal,Finland, Romania, France, Slovakia, Germany,Slovenia,Greece, Spain,Hungary,Sweden, Ireland and United Kingdom.",,,,,
,,,,,
Country ISO code,Country name,Regional grouping,Country class,,
ABW,Aruba,Rest Central America,Developing,,
AFG,Afghanistan,India +,Developing,,
AGO,Angola,Southern_Africa,Developing,,
AIA,Anguilla,Rest Central America,Developing,,
AIR,Int. Aviation,Int. Aviation,0,,
ALB,Albania,Central Europe,Industrialised,,
ANT,Netherlands Antilles,Rest Central America,Developing,,
ARE,United Arab Emirates,Middle_East,Developing,,
ARG,Argentina,Rest South America,Developing,,
ARM,Armenia,Russia +,Industrialised,,
ASM,American Samoa,Oceania,Developing,,
ATG,Antigua and Barbuda,Rest Central America,Developing,,
AUS,Australia,Oceania,Industrialised,,
AUT,Austria,OECD_Europe,Industrialised,,
AZE,Azerbaijan,Russia +,Industrialised,,
BDI,Burundi,Eastern_Africa,Developing,,
BEL,Belgium,OECD_Europe,Industrialised,,
BEN,Benin,Western_Africa,Developing,,
BFA,Burkina Faso,Western_Africa,Developing,,
BGD,Bangladesh,India +,Developing,,
BGR,Bulgaria,Central Europe,Industrialised,,
BHR,Bahrain,Middle_East,Developing,,
BHS,Bahamas,Rest Central America,Developing,,
BIH,Bosnia and Herzegovina,Central Europe,Industrialised,,
BLR,Belarus,Ukraine +,Industrialised,,
BLZ,Belize,Rest Central America,Developing,,
BMU,Bermuda,Rest Central America,Developing,,
BOL,Bolivia,Rest South America,Developing,,
BRA,Brazil,Brazil,Developing,,
BRB,Barbados,Rest Central America,Developing,,
BRN,Brunei Darussalam,Southeastern Asia,Developing,,
BTN,Bhutan,India +,Developing,,
BWA,Botswana,Southern_Africa,Developing,,
CAF,Central African Republic,Western_Africa,Developing,,
CAN,Canada,Canada,Industrialised,,
CHE,Switzerland,OECD_Europe,Industrialised,,
CHL,Chile,Rest South America,Developing,,
CHN,China,China +,Developing,,
CIV,Cote d'Ivoire,Western_Africa,Developing,,
