Country_code_A3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
ABW,0.094645706,0.091966575,0.09418038,0.094254555,0.095523628,0.095044013,0.108836049,0.099570248,0.125347693,0.156344899,0.149679762,0.149714051,0.143689125,0.139534126,0.138924715,0.140052796,0.134249851,0.137891468,0.140324294,0.137071098,0.132086675,0.144212272,0.142400639,0.136197198,0.140872087,0.1391433,0.148309361,0.167105644,0.167885693,,
AFG,0.945285541,0.956797328,1.043979745,1.052541645,1.053925034,1.0498877,1.052222697,1.05090956,1.043678514,1.041316175,1.0674643,0.881002702,0.9160149,0.907334215,0.910983268,0.894010371,0.883543161,0.850968949,0.794862144,0.74496543,0.718971816,0.63220898,0.670341487,0.703654832,0.724508764,0.720585079,0.744354046,0.69403128,0.689523973,,
AGO,0.260011874,0.262356778,0.265100396,0.25783267,0.249269489,0.241900381,0.26390542,0.262937857,0.280048155,0.282092963,0.254992604,0.374835327,0.334689276,0.321784096,0.324225802,0.331784908,0.370458739,0.329922068,0.369628799,0.368343425,0.358507143,0.305325797,0.367012619,0.333411701,0.366559868,0.328805428,0.372302628,0.380338109,0.365586049,,
AIA,0.315644608,0.294147957,0.29397112,0.265715215,0.243296296,0.22914627,0.230938792,0.249530142,0.254433715,0.26290967,0.235142625,0.237904215,0.279758714,0.252309339,0.257591159,0.26268217,0.274068123,0.279584975,0.260548739,0.237673095,0.224757924,0.218825841,0.21983398,0.215167773,0.21622407,0.216741569,0.216764217,0.215283688,0.217982369,,
AIR,0.005049651,0.005049032,0.005048413,0.005047794,0.005047176,0.005046557,0.005046556,0.005046557,0.005046557,0.005046557,0.005046557,0.005046557,0.005046557,0.005046555,0.005046555,0.005046555,0.005046555,0.005046554,0.005046554,0.005046554,0.005046554,0.005046554,0.005046554,0.005046554,0.005046554,0.005046555,0.005046514,0.005046494,0.005046494,,
ALB,0.366884319,0.41960929,0.559252513,0.588409418,0.629025483,0.656983114,0.639590854,0.693336065,0.659735243,0.637780798,0.617303316,0.735366272,0.693279732,0.671909341,0.63443195,0.634597671,0.682513161,0.657801248,0.628528769,0.61706833,0.626673615,0.578254003,0.587799406,0.555485056,0.578783186,0.580045457,0.546965873,0.55446809,0.572688835,,
ANT,0.080184823,0.080022876,0.080641367,0.084245939,0.085329247,0.085533151,0.089216306,0.078784233,0.088582628,0.104786412,0.104893045,0.105801532,0.101234163,0.100828773,0.101679429,0.102136753,0.099968361,0.100350927,0.101571807,0.098619343,0.100384237,0.098302829,0.106497646,0.102738926,0.105467286,0.105085854,0.105647703,0.107050614,0.109184551,,
ARE,0.086245321,0.080353044,0.085151872,0.088055683,0.085059858,0.086762426,0.087340337,0.087256629,0.085876877,0.091756335,0.103506248,0.101689081,0.108237775,0.117267547,0.120733948,0.125253259,0.128615653,0.122506317,0.11668202,0.116000556,0.113172597,0.112398922,0.11524528,0.116993276,0.121952739,0.118743935,0.12567239,0.131386979,0.137713944,,
ARG,0.756060629,0.746853245,0.742553422,0.742187169,0.72725949,0.72997338,0.718755374,0.705397198,0.692487071,0.687813279,0.691460504,0.737070372,0.739951706,0.736835123,0.701930164,0.710510293,0.692344333,0.697027455,0.68304592,0.678314927,0.690500005,0.647981359,0.627833262,0.656348381,0.660159442,0.658824239,0.612827208,0.627279191,0.622947973,,
ARM,0.192131225,0.162154572,0.221222109,0.298443519,0.394093967,0.349995682,0.411309873,0.364289777,0.340283631,0.359303127,0.347511025,0.371329626,0.403182241,0.38346259,0.387710201,0.352606021,0.350868584,0.331298566,0.315424944,0.346145437,0.352259031,0.316780399,0.302893599,0.314490352,0.366209944,0.391883617,0.383062697,0.357624656,0.336441116,,
ASM,-0.521364874,-0.533838684,-0.546425667,-0.559044089,-0.57150049,-0.584441114,-0.596262569,-0.608207456,-0.620581704,-0.632301774,-0.643414379,-0.987860517,-0.996142291,-1.00421587,-1.003059871,-0.9995258,-0.986326235,-0.981153393,-0.964355255,-0.946572177,-0.9378644,-1.143045443,-1.132443377,-1.126928611,-1.12936771,-1.129506917,-0.904524016,-0.898199376,-0.891210102,,
ATG,0.203290954,0.200260539,0.202053824,0.211698137,0.209062816,0.205681515,0.203547831,0.210094582,0.234535272,0.259746766,0.262216099,0.264189804,0.258515656,0.245881196,0.241873957,0.245558503,0.241049532,0.241228078,0.239796438,0.223616788,0.190998924,0.193772073,0.190790341,0.181169301,0.1858432,0.184774682,0.193616419,0.222623053,0.224316819,,
AUS,0.469325321,0.465372786,0.458971409,0.455095934,0.455798893,0.444323185,0.440621814,0.432843903,0.421608586,0.41702224,0.421296218,0.446253113,0.437905802,0.435562578,0.439856474,0.438797228,0.42747957,0.419358223,0.416910715,0.412004612,0.414492104,0.35611116,0.340203055,0.346089601,0.351635318,0.34048445,0.314362968,0.322383946,0.321258856,,
AUT,0.327206423,0.311458624,0.331270801,0.328030622,0.319844782,0.306133006,0.290908779,0.297023215,0.296804162,0.302188087,0.303135565,0.246127888,0.247631799,0.236847739,0.230937459,0.224390835,0.22845694,0.233322367,0.232903729,0.242631288,0.234808286,0.244144085,0.246929719,0.246047556,0.256879634,0.253175334,0.253303878,0.246407581,0.250164691,,
AZE,0.241247317,0.22313193,0.263097614,0.257644718,0.262172366,0.259579743,0.287209432,0.2942698,0.278217439,0.275465002,0.282797764,0.301290295,0.310092055,0.299342384,0.307916451,0.31155248,0.298300422,0.329268575,0.3242338,0.371908511,0.375620077,0.363475188,0.356294304,0.354461274,0.347293274,0.348182306,0.348037961,0.348145614,0.345269979,,
BDI,0.774139675,0.769891939,0.775568025,0.773243395,0.760288549,0.763344486,0.795281146,0.783405767,0.760102375,0.807704961,0.791461414,0.811942973,0.615740031,0.605609323,0.660239815,0.722154633,0.727464999,0.762896522,0.728241277,0.71558779,0.729860906,1.466051327,1.678216341,1.43443555,1.556700557,1.516967119,0.738717385,0.785280164,0.754578641,,
BEL,0.208910958,0.204550151,0.209462922,0.211296486,0.212671041,0.214163926,0.212962071,0.211155347,0.202315865,0.20925979,0.217695319,0.203551478,0.208656995,0.208676695,0.209867836,0.206451876,0.212933018,0.217186083,0.216052687,0.221758214,0.218304021,0.250587999,0.252758946,0.247907509,0.262833853,0.25585039,0.233899571,0.23670339,0.235441466,,
BEN,0.911624264,0.913260468,0.911118662,0.909865968,0.90987448,0.908187129,0.895903883,0.884726866,0.871132691,0.867074038,0.885036455,0.856232568,0.845305325,0.834265783,0.828260142,0.823298003,0.780632472,0.762657436,0.763946738,0.754998087,0.731212329,0.73396005,0.740517029,0.729460644,0.716888604,0.707719112,0.676123951,0.675516427,0.664416572,,
BFA,0.701407944,0.702882821,0.707368797,0.709665636,0.70683863,0.708702156,0.712341232,0.7073973,0.705484415,0.731495687,0.720691353,0.634701171,0.6405876,0.669976628,0.672206142,0.671218602,0.673263316,0.667569829,0.665651204,0.670289492,0.672809872,0.880499899,0.869732883,0.860337108,0.869014059,0.851364623,0.566180035,0.56470747,0.566279901,,
