Name,dev_country,Substance,FOOD_system_stage,Y_2018,Country_Num,Country_Class_NUM
Angola,D,1,2,35592.0828,4,0
Angola,D,0,2,4870.0764,4,0
Angola,D,3,2,4252.879,4,0
Albania,I,1,2,114.1346,1,1
Albania,I,3,2,12.19,1,1
Argentina,D,1,2,57652.4348,7,0
Argentina,D,3,2,1020.9655,7,0
Argentina,D,0,2,41.2776,7,0
Armenia,I,1,2,36.0668,8,1
American Samoa,D,1,2,9.2257,3,0
Australia,I,1,2,3773.2001,10,1
Australia,I,3,2,594.024,10,1
Australia,I,0,2,225.8732,10,1
Austria,I,1,2,317.5487,11,1
Austria,I,3,2,42.5325,11,1
Azerbaijan,I,1,2,454.8745,12,1
Burundi,D,1,2,3475.9987,31,0
Burundi,D,3,2,444.9615,31,0
Burundi,D,0,2,0.0,31,0
Belgium,I,1,2,159.3106,18,1
Belgium,I,3,2,25.6255,18,1
Benin,D,1,2,10753.1747,20,0
Benin,D,0,2,15.8592,20,0
Benin,D,3,2,13.7005,20,0
Burkina Faso,D,1,2,6504.96,30,0
Burkina Faso,D,0,2,0.0,30,0
Burkina Faso,D,3,2,0.0,30,0
Bangladesh,D,1,2,21736.09,15,0
Bangladesh,D,3,2,2241.105,15,0
Bangladesh,D,0,2,22.8088,15,0
Bulgaria,I,1,2,4420.4371,29,1
Bulgaria,I,3,2,128.737,29,1
Bahamas,D,0,2,3.4944,13,0
Bahamas,D,3,2,3.021,13,0
Bosnia and Herzegovina,I,1,2,49.9136,25,1
Bosnia and Herzegovina,I,3,2,14.84,25,1
Belarus,I,1,2,22040.0079,17,1
Belarus,I,3,2,4906.687,17,1
Belize,D,1,2,5243.1959,19,0
Belize,D,3,2,46.9315,19,0
Belize,D,0,2,11.5108,19,0
Bolivia (Plurinational State of),D,1,2,67700.9512,24,0
Bolivia (Plurinational State of),D,0,2,975.6404,24,0
Bolivia (Plurinational State of),D,3,2,843.071,24,0
Brazil,D,1,2,653719.2204,27,0
Brazil,D,0,2,1901.2728,27,0
Brazil,D,3,2,1739.354,27,0
Brunei Darussalam,D,1,2,345.777,28,0
Brunei Darussalam,D,0,2,0.0,28,0
Brunei Darussalam,D,3,2,30.7665,28,0
Bhutan,D,0,2,0.9324,22,0
Bhutan,D,3,2,0.795,22,0
Botswana,D,1,2,41328.6421,26,0
Botswana,D,3,2,75.26,26,0
Central African Republic,D,1,2,13982.078,37,0
Central African Republic,D,0,2,8860.1296,37,0
Central African Republic,D,3,2,7662.899,37,0
Canada,I,1,2,115990.7923,34,1
Canada,I,3,2,4348.8885,34,1
Switzerland,I,1,2,810.7166,197,1
Switzerland,I,3,2,114.427,197,1
Chile,D,1,2,407.244,39,0
Chile,D,3,2,156.6945,39,0
China,D,1,2,1664.0539,40,0
China,D,3,2,498.8095,40,0
China,D,0,2,0.0588,40,0
Côte d'Ivoire,D,1,2,26643.7144,53,0
Côte d'Ivoire,D,3,2,277.402,53,0
Côte d'Ivoire,D,0,2,1.6856,53,0
Cameroon,D,1,2,34890.3966,33,0
Cameroon,D,0,2,276.192,33,0
Cameroon,D,3,2,426.6765,33,0
Democratic Republic of the Congo,D,1,2,601371.0371,55,0
Democratic Republic of the Congo,D,0,2,11475.9232,55,0
Democratic Republic of the Congo,D,3,2,9973.1425,55,0
Congo,D,1,2,10469.3186,43,0
Congo,D,3,2,577.435,43,0
Congo,D,0,2,240.0916,43,0
Colombia,D,1,2,83250.5975,41,0
Colombia,D,3,2,517.0415,41,0
Colombia,D,0,2,464.8,41,0
Comoros,D,1,2,59.8556,42,0
Comoros,D,0,2,0.0588,42,0
Comoros,D,3,2,0.053,42,0
Costa Rica,D,1,2,141.1394,46,0
Costa Rica,D,3,2,25.44,46,0
Costa Rica,D,0,2,6.16,46,0
Cuba,D,1,2,0.0,49,0
Cuba,D,0,2,4.3624,49,0
Cuba,D,3,2,3.763,49,0
Cayman Islands,D,1,2,0.0,36,0
Cyprus,I,1,2,30.3359,50,1
Czechia,I,1,2,1078.0103,52,1
Czechia,I,3,2,35.404,52,1
Germany,I,1,2,9627.2744,79,1
Fiji,D,1,2,106.3573,70,0
Germany,I,3,2,3651.859,79,1
Dominica,D,1,2,0.0,58,0
Denmark,I,1,2,3400.5666,56,1
Denmark,I,3,2,280.264,56,1
Dominican Republic,D,1,2,603.68,59,0
Dominican Republic,D,0,2,0.0,59,0
Dominican Republic,D,3,2,0.0,59,0
Algeria,D,1,2,637.8973,2,0
Ecuador,D,1,2,26149.686,60,0
Ecuador,D,3,2,13.1705,60,0
Ecuador,D,0,2,0.3472,60,0
Egypt,D,1,2,182.8177,61,0
Eritrea,D,1,2,661.7086,64,0
Eritrea,D,3,2,0.53,64,0
Western Sahara,D,1,2,0.0,230,0
Spain,I,1,2,1253.3666,191,1
Spain,I,3,2,59.7575,191,1
Estonia,I,1,2,2525.6842,65,1
Estonia,I,3,2,612.362,65,1
Ethiopia,D,1,2,38055.5759,67,0
Ethiopia,D,3,2,932.9325,67,0
